text,likes_faixa
Presidente do Equador tomará posse na segundafeira ,0
Na média em maio  das mortes por Covid no mundo ocorreram na América Latina e no Caribe  onde vivem apenas… ,0
Butantan arrecada R  milhões para nova fábrica ,1
Vacinas da Pfizer e AstraZeneca combatem variantes da Covid ,1
Italianos aproveitam reabertura das estações de esqui ,0
RT  A renúncia de Bill Gates do conselho de diretores da Microsoft em  veio depois que o conselho contratou um escritóri…,-1
Incêndio destrói casas em região de floresta da Grécia ,0
RT  A alta dos preços na construção civil é a maior em  anos Essa inflação do setor é apontada em levantamento da Fundaçã…,-1
"Em entrevista à CNN o senador Otto Alencar PSDBA afirmou que o exministro da Saúde Eduardo Pazuello ""pediu"" pa… ",1
Espanha resgata  imigrantes à deriva no mar ,0
Fiocruz prevê retomar produção de doses na terçafeira ,0
A motociata promovida pelo presidente Jair Bolsonaro e seus apoiadores no Rio de janeiro envolveu mil policiais mil… ,1
Um ativista da oposição bielorrussa foi preso neste domingo  depois que o presidente Alexander Lukashenko orden… ,0
Exército deverá pedir explicações a Pazuello por ida a ato com Bolsonaro ,1
Aglomeração de  pessoas é dispersada em Porto Alegre ,0
Comércio de São Paulo poderá funcionar até h em junho ,0
CPI da Pandemia votará convocação do irmão de exministro da Educação por suposto gabinete paralelo leia apuração… ,1
Hospitais de São Paulo voltam a ter alta ocupação de UTIs ,1
Exército ajuda prefeitura de Batatais em São Paulo durante lockdown ,0
Por  Pazuello de acordo com fontes das Forças Armadas não pediu autorização ao Comando do Exércit… ,1
Maratona termina com  mortos no noroeste da China ,0
O cessarfogo entre Israel e o Hamas entrou no terceiro dia neste domingo com mediadores conversando com todos os… ,0
Daqui a pouco São Paulo e Palmeiras decidem Paulistão ,0
Políticos de oposição criticaram a postura do presidente Jair Bolsonaro que esteve no Rio de Janeiro neste domingo… ,1
O expiloto brasileiro da Fórmula Indy André Ribeiro morreu no sábado  aos  anos ,0
Algumas mulheres podem ter maior risco para a Covid e pouco tem sido falado sobre isso Entenda,0
O brasileiro Paulo Mendes da Rocha conhecido internacionalmente por sua atuação na arquitetura teve sua morte con… ,0
O ministro da Saúde Marcelo Queiroga chega ao Maranhão na tarde deste domingo para acompanhar a adoção de medidas… ,0
Por  O G vai colocar para aprovação requerimentos de informações ao governo e prefeitura do Rio sobre… ,1
Após passeio de moto em que houve aglomerações no Rio de Janeiro o presidente Jair Bolsonaro voltou a criticar nes… ,1
Um acidente de teleférico na Itália na manhã deste domingo  deixou ao menos  mortos segundo autoridades loca… ,0
Sem máscara exministro Pazuello discursa em evento ao lado de Bolsonaro ,1
O Instituto Nacional de Meteorologia Inmet e as defesas civis  estaduais alertam que ciclone pode causar ventos d… ,0
O exministro da Saúde Eduardo Pazuello participa de ato ao lado de Bolsonaro sem máscara no Rio neste domingo,1
O presidente Jair Bolsonaro realizou um percurso com motociclistas no Rio de Janeiro na manhã deste domingo  P… ,1
Confira os times que conquistaram títulos estaduais e no Distrito Federal neste ano ,-1
Acidente em teleférico deixa doze mortos na Itália ,0
Margareth Dalcolmo da Fiocruz afirma à CNN que é difícil conter a transmissão da variante do novo coronavírus e q… ,0
Bolsonaro participa de passeio com motociclistas ,1
A secretaria da Saúde do Maranhão confirmou neste domingo  à CNN que um dos  pacientes infectados com a varian… ,0
A capital da Índia Nova Délhi começará a relaxar as medidas de restrição na próxima semana se os casos de Covid… ,0
Israel decidiu reabrir as fronteiras para turistas estrangeiros depois de uma redução nas infecções por Covid ,0
Neste domingo  às h “Anthony Bourdain Lugares Desconhecidos” mostra a visita do chef à Líbia em  qu… ,0
RT  O WhatsApp começou a forçar os usuários a aceitarem suas novas políticas de privacidade Segundo a empresa quem se recu…,-1
Três pessoas foram mortas e outras cinco sofreram ferimentos em um tiroteio em um bar em Ohio nos Estados Unidos… ,0
Tempestade tropical atinge região do Oceano Atlântico perto das Bermudas ,0
Banda italiana de punk rock Måneskin superou candidatos de França e Suíça e ganhou o prêmio musical Eurovision ,0
Um rastro de lava fumegante de uma erupção vulcânica parou a algumas centenas de metros da borda da principal cidad… ,0
Mais da metade da população brasileira está dormindo mal durante a pandemia segundo estudo Algumas mudanças na ro… ,1
"Uma imagem que parece mostrar a princesa Latifa foi postada em uma conta de mídia social Ela está ""desaparecida"" h… ",0
Vinte e um corredores de ultramaratona morreram depois que condições climáticas extremas atingiram uma corrida de m… ,0
Quando uma amizade se depara com um obstáculo como saber se você deve melhorar o relacionamento ou deixálo ir,0
O Flamengo venceu por  a  o Fluminense e se tornou tricampeão do campeonato carioca,0
A associação Advogadas e Advogados Públicos para a Democracia pediu esclarecimentos ao Advogado Geral da União sobr… ,1
Akuanduba Xepa Zaqueu Pulso Zelotes Carne Fraca nos últimos anos a criatividade nos nomes das operações da… ,0
O Monte Nyiragongo no leste da República Democrática do Congo entrou em erupção neste sábado  apesar da ativ… ,0
O ministro da Saúde Marcelo Queiroga elogiou neste sábado  a infectologista Luana Araújo mas não explicou porq… ,0
O ministro da Saúde Marcelo Queiroga negou neste sábado  que haja transmissão local da variante da Índia apó… ,0
Na capital paulista o Parque Augusta na região central será renomeado em homenagem a Bruno Covas assim como o p… ,1
Avaliação da Casa Civil foi determinante para secretária extraordinária de Enfrentamento à Covid deixar cargo no… ,0
RT  O concurso  da MegaSena pode pagar R  milhões neste sábado  Veja as dezenas sorteadas pela Caixa  ,-1
Em entrevista à CNN o senador Eduardo Girão titular da CPI da Pandemia afirmou que é necessário verificar se hou… ,1
Em entrevista à CNN o senador Humberto Costa PTPE afirmou que a antecipação dos resultados da Comissão Parlamen… ,0
O concurso  da MegaSena pode pagar R  milhões neste sábado  Veja as dezenas sorteadas pela Caixa ,-1
À CNN Francyne EliasPiera doutora em Ciência Ambiental detalhou como ocorreu o deslocamento de uma enorme massa… ,0
Calouros da Academia Naval de Annapolis nos Estados Unidos retomaram uma tradição que estava suspensa por conta d… ,0
RT  Na manhã de  de abril dois irmãos em Westchester Nova York souberam que haviam se tornado milionários durante a noi…,-1
A Índia foi duramente atingida por uma segunda onda de infecções por coronavírus que sobrecarregou o sistema de saú… ,0
RT  A Air France fez nesta semana o primeiro voo de longa distância usando Sustainable Aviation Fuel cuja matériaprima típ…,-1
Uma loja de doces de Maryland nos Estados Unidos está vendendo cigarras cobertas com chocolate A ideia é comemor… ,0
Especialista explica o que a ciência sabe sobre quantidades seguras do café e de que maneira ele afeta cada pessoa,0
Exsecretário de Saúde se recupera de Covid comissão já tem plano B caso ocorra adiamento,0
A média móvel de mortes por Covid parou de cair no Brasil nos últimos sete dias o índice se manteve acima de … ,0
Voo com matériaprima de vacina chega ao Brasil ,1
Secretária de Enfrentamento à Covid deixa o cargo ,0
O Atlético venceu neste sábado  o Campeonato Mineiro  pelo segundo ano consecutivo após empatar em  a  c… ,0
Rajadas de vento que ultrapassaram os kmh derrubaram árvores e postes na manhã e início da tarde deste sábado … ,0
Carga com IFA para produção de  milhões de vacinas da AstraZenecaOxford pousou nesta tarde no Aeroporto do Galeã… ,1
RT  Na manhã deste sábado  a aeronave da Virgin Galactic voou para a camada superior da atmosfera levando a bordo dois…,-1
Um vírus primitivo presente nos humanos há milhares de anos pode estar sendo ativado pelo coronavírus e provocand… ,1
Por  O Instituto Butantan entregou à CPI da Pandemia nesta semana documentos sobre três ofertas de forn… ,1
O Ministério da Saúde confirmou neste sábado  que a secretária extraordinária de Enfrentamento à Covid a in… ,1
Alunos retomam tradição e se aglomeram para escalar obelisco nos Estados Unidos ,0
RT  A diretora da Azul Cargo  afirmou que a companhia vai investir mais R  milhão em Campinas neste ano ,-1
Familiares amigos e companheiros políticos de Bruno Covas PSDB prefeito de São Paulo participaram neste sábado… ,0
Polônia será o primeiro país da Otan a comprar drones armados modelos Bayraktar TB serão armados com projéteis an… ,0
Para todas as pessoas que estão clamando pela volta ao mundo após a vacina da Covid há muitos que estão dizendo… ,0
RT  A capitalização da Eletrobras pode reduzir as tarifas de energia pagas pela população além de garantir maior segurança…,-1
Rainha Elizabeth II visita novo portaaviões britânico ,0
RT  O Ministério da Saúde está discutindo um plano nacional de barreiras sanitárias para evitar a disseminação de novas cepa…,-1
O Instituto Nacional de Meteorologia Inmet emitiu um alerta para temporais e ventos fortes nas regiões Sul Sudes… ,0
Em entrevista à CNN o governador do Maranhão disse não haver indicativo de transmissão local da cepa originária da… ,0
Tiroteio deixa dois mortos em Minneapolis nos EUA ,0
RT  O dono da fabricante de veículos elétricos Tesla Elon Musk perdeu nesta semana o posto de segunda pessoa mais rica do…,-1
A assessoria do presidente da CPI da Pandemia o senador Omar Aziz PSDAM disse neste sábado  que o requerime… ,0
A rainha Elizabeth da GrãBretanha visitou o novo portaaviões do país no sábado batizado em sua homenagem antes… ,0
Tripulantes seguem isolados em navio no Maranhão ,0
Final do Campeonato Carioca não terá torcida ,0
Seis dias após a morte de Bruno Covas o novo prefeito de São Paulo Ricardo Nunes MDB disse que a forma como ch… ,0
Mais de  milhões de pessoas receberam a ª dose em São Paulo ,0
A capitalização da Eletrobras pode reduzir as tarifas de energia pagas pela população além de garantir maior segur… ,0
O presidente do Senado Rodrigo Pacheco DemocratasMG foi vacinado neste sábado  contra o coronavírus ,0
Secretário de São Paulo apresenta plano de testagem em aeroportos e rodovias contra novas cepas entenda,0
Doses remanescentes são remanejadas em Belo Horizonte pela secretaria de Saúde entenda como funciona ,0
Neste sábado o Brasil segue na mesma posição e é o º no ranking global de aplicação de doses da vacina contra Co… ,0
Randa Aweis recebeu um rim de um judeu morto nos confrontos entre Israel e Palestina,1
Nova York libera atividades econômicas e de lazer ,1
Virologista Anderson Brito da Universidade de Yale disse que é preciso estar atento ao momento em que a variante… ,0
Menina relata rotina em meio aos bombardeios em Gaza ,0
Espanha libera a entrada de turistas vacinados ,0
"Veja quais são as medidas restritivas ""intensivas e temporárias"" anunciadas pelo presidente da Argentina e que entr… ",0
Quatro cidades de São Paulo decretam lockdown ,0
Em entrevista exclusiva à CNN o presidente da CPI da Pandemia senador Omr Azizi disse que  pretende com os próxi… ,1
O rover Zhurong deixou sua plataforma de pouso e avançou pela superfície de Marte neste sábado  informou a míd… ,0
A atualização semanal do Mapa de Risco produzido pela Secretaria de Estado de Saúde SES do Rio de Janeiro mostra… ,0
Ministério da Saúde monitora casos de cepa originária da Índia ,0
Embarcação filipina permanece de quarentena em porto de Pernambuco ,0
Em entrevista à CNN a epidemiologista e professora da Universidade Federal do Espírito Santo UFES Ethel Maciel a… ,0
Dois homens morreram e outras oito pessoas ficaram feridas em um tiroteio no centro de Minneapolis nos EUA ,0
Vinte e seis países competem na final do concurso de música Eurovision na Holanda neste sábado  votos poderão… ,0
"A HBO Max anunciou que o episódio especial de ""Friends"" poderá ser visto nesta quintafeira  de maio em sua pla… ",0
Segundo o Centro de Gerenciamento de Emergências Climáticas da Prefeitura de São Paulo a passagem de uma frente fr… ,0
Entenda a reclamação de Taiwan sobre as vacinas chinesas contra a Covid tensão entre a ilha e a China aumentou… ,0
A tempestade subtropical Ana a primeira tempestade com nome da temporada de furacões  formouse a nordeste da… ,0
A trégua entre Israel e militantes palestinos liderados pelo Hamas na Faixa de Gaza prossegue neste sábado  en… ,0
Os postos de unidades básicas de saúde integrados com as assistências médicas ambulatoriais os chamados AMAUBS f… ,0
A Fundação Oswaldo Cruz Fiocruz recebe neste sábado  uma nova remessa de Ingrediente Farmacêutico Ativo IF… ,1
Confira dicas para tornar a convivência familiar mais equilibrada e melhorar o ambiente em casa,0
RT  Editada em março pelo governo a Medida Provisória que busca melhorar o ambiente de negócios no Brasil deve ser votada n…,-1
O contato humano está voltando aos poucos  modificado pela pandemia é claro E embora você possa não estar com pr… ,0
RT  O topo da lista das pessoas mais ricas do mundo é repleto de celebridades do mundo dos negócios Há porém um estranho…,-1
RT  A Caixa Econômica Federal paga a segunda parcela do auxílio emergencial  para um novo grupo neste sábado  O dep…,-1
RT  O concurso  da MegaSena pode pagar R  milhões neste sábado  O sorteio anterior realizado no dia  de mai…,-1
RT  Com a escassez de imunizantes contra o novo coronavírus no Brasil quem tem condições pode viajar até os Estados Unidos…,-1
RT  O mercado brasileiro permanece vendo modelos com mais de uma década de mercado continuando a aparecer nas lojas como  k…,-1
No início de maio médicos na Índia começaram a relatar um aumento na mucormicose  uma infecção rara e potencialme… ,0
Segundo um levantamento da Confederação Nacional de Municípios CNM mais de mil cidades brasileiras enfrentam o p… ,0
RT  Os preços do óleo diesel nos postos de combustíveis do Brasil avançaram nesta semana a terceira consecutiva de alta par…,-1
A AFA associação que cuida do futebol na Argentina suspendeu todas as partidas até domingo  por conta do agra… ,0
O CNN Nosso Mundo desta sextafeira  entrevistou o escritor e doutor em educação Daniel Munduruku que analisou… ,0
Um levantamento realizado pela Stone em parceria com o Instituto Propague mostra que até o final de  o Brasil t… ,0
A Pfizer pediu no fim da tarde desta sextafeira  à Agência de Vigilância Sanitária Anvisa a alteração no pro… ,0
Funcionando já por  dias a Comissão Parlamentar de Inquérito CPI da Pandemia já soma quase  horas de depoime… ,0
Estudos mostram que as vacinas da Pfizer e Moderna são mais eficazes para conter a transmissão do coronavírus As i… ,1
A Secretaria de Saúde do Ceará está monitorando um caso suspeito de infecção pela variante do coronavírus originári… ,0
A retomada do público no Maracanã e demais estádios do Rio ainda está longe de ser realidade mesmo após final do C… ,0
Futebol é paralisado na Argentina após aumento de casos da Covid ,0
Em entrevista à CNN Aécio Neves afirmou que o partido pode apoiar um nome de fora da sigla em  mas ressaltou… ,1
Equipe da CNN visita base militar russa na região do Ártico ,0
Um novo material de carbono atomicamente fino o bifenileno foi descoberto por pesquisadores das universidades de A… ,0
"Em entrevista à CNN o secretário municipal de Saúde de São Paulo Edson Aparecido disse que ""todo cuidado é pouco… ",0
Veja as notícias mais importantes sobre a vacinação contra a Covid deste  de maio de ,0
Todo cuidado é pouco diz secretário de Saúde de SP sobre cepa da Índia ,0
O Exército Brasileiro revelou à CNN que há atualmente  comprimidos de Cloroquina  mg em estoque armazena… ,0
Um levantamento feito pela CNDL em parceria com o SPC revela que houve um crescimento entre os brasileiros com mais… ,0
Número de mortos por Covid pode ser três vezes maior diz OMS ,0
O presidente da Câmara dos Deputados Arthur Lira respondeu ao STF questionamentos sobre o funcionamento das comis… ,0
RT  A BRF informou que a Marfrig realizou a compra de ações ordinárias atingindo participação de  do capital social d…,-1
Para William Waack a falta de novas lideranças é a causa da agitação do encontro entre os expresidentes Fernando… ,0
O STF decidiu manter a realização de um concurso para vagas na PF com prova marcada para o dia ,0
RT  No mês de abril deste ano o fluxo de pessoas cresceu  nas lojas físicas do país em relação a abril de  Nos sh…,-1
Pfizer pede à Anvisa alteração no modo de conservação da vacina ,0
Uma nova imagem da crise migratória em Ceuta comoveu a comunidade internacional o momento mostra uma voluntária… ,0
Na Líbia Anthony Bourdain prova da rica culinária mediterrânea do país chef faz visita logo após o término de uma… ,-1
Para que fábricas de vacinas veterinárias possam fabricar vacinas humanas para a Covid é necessária uma adaptaçã… ,0
Em entrevistaLisa Kudrow a Phoebe diz que no início queria interpretar Rachel em Friends,0
RT  A fabricante de máquinas agrícolas norteamericana Deere amp Co registrou alta de  no lucro líquido do ano fiscal de…,-1
Waack Falta de novas lideranças é causa da agitação com encontro de Lula e FHC ,0
A Justiça do Rio de Janeiro negou um recurso impetrado pela defesa de Ronnie Lessa que tentava impedir que ele fos… ,0
RT  O Ministério de Minas e Energia defendeu a MP que viabiliza a privatização da Eletrobras após alguns especialistas e as…,-1
A Olimpíada de Tóquio acontecerá mesmo que a cidade esteja sob estado de emergência por causa da Covid disse um… ,0
À CNN Aécio admite nome de fora do PSDB mas vê Tasso ganhando musculatura ,0
RT  As soluções para o varejo saúde e educação apresentadas pelas startups brasileiras chamaram a  atenção de investidores…,-1
A Prefeitura do Recife é investigada por suspeita de ter comprado material hospitalar que poderia atender demanda d… ,1
RT  Mais de  mil pessoas no Brasil ficaram viúvas viúvos ou órfãos devido à morte de familiares por Covid o que fez…,-1
CPI da Pandemia já soma quase  horas de depoimento ,0
A mediana da idade de pessoas internadas em UTI no Brasil está abaixo dos  anos pela primeira vez,0
Empresas devem manter modelo de trabalho híbrido após pandemia ,0
"Em entrevista à CNN o exprefeito de SP e expresidenciável Fernando Haddad afirmou que o PT articula uma ""terceir… ",0
O STF Ricardo Lewandowski negou pedido de reconsideração feito pela secretária de Gestão do Trabalho e da Educação… ,0
Pfizer e Moderna são mais eficazes contra transmissão ,1
Fiocruz entrega novo lote com  milhões de doses ,1
A linhagem B do novo coronavírus foi detectada pela primeira vez na Índia em outubro de  a cepa que já… ,0
Na próxima semana a CPI da Pandemia vai explorar um documento que mostra que o Ministério da Saúde foi informado d… ,0
A Fifa realizará um estudo de viabilidade sobre a realização da Copa do Mundo e da Copa do Mundo Feminina a cada do… ,0
Por  CPI articula grupo de técnicos e voluntários para detectar mentiras na comissão ,0
O presidente da CPI da Pandemia senador Omar Aziz protocolou um PL para criminalizar a prescrição de medicamentos… ,1
O técnico da seleção brasileira de vôlei Renan Dal Zotto de  anos recebeu alta hospitalar após passar  dias… ,1
RT  O secretário especial de Fazenda do Ministério da Economia Bruno Funchal afirmou que a decisão do Supremo a respeito d…,-1
Por  G avalia incriminar exministros e poupar Bolsonaro ,0
A CPI da Pandemia confirmou para o dia  o depoimento de Élcio Franco exsecretárioexecutivo do Ministério da Sa… ,0
Encontro de Lula e FHC doação de vacinas e mais notícias desta sextafeira  Assista ao  Fatos Noite ,-1
Por  À CNN o governador de São Paulo João Doria disse respeitar muito o expresidente Fernando H… ,0
